StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PID,instruction3,instruction4,smart_screener1,smart_screener2,smart_screener3,smart_screener4,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S1_7,S1_8,S1_9,S1_10,S1_11,S1_12,S1_13,S1_14,S1_15,S1_open_ended,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7,S2_8,S2_9,S2_10,S2_11,S2_12,S2_13,S2_14,S2_15,S2_open_ended,break3,nice_screener1,nice_screener2,nice_screener3,nice_screener4,N1_1,N1_2,N1_3,N1_4,N1_5,N1_6,N1_7,N1_8,N1_9,N1_10,N1_11,N1_12,N1_13,N1_14,N1_15,N1_open_ended,N2_1,N2_2,N2_3,N2_4,N2_5,N2_6,N2_7,N2_8,N2_9,N2_10,N2_11,N2_12,N2_13,N2_14,N2_15,N2_open_ended
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,For experimenters: please fill out the PID below,instruction3,instruction4,smart_screener1,smart_screener2,smart_screener3,smart_screener4,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S1_7,S1_8,S1_9,S1_10,S1_11,S1_12,S1_13,S1_14,S1_15,S1_open_ended,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7,S2_8,S2_9,S2_10,S2_11,S2_12,S2_13,S2_14,S2_15,S2_open_ended,break3,nice_screener1,nice_screener2,nice_screener3,nice_screener4,N1_1,N1_2,N1_3,N1_4,N1_5,N1_6,N1_7,N1_8,N1_9,N1_10,N1_11,N1_12,N1_13,N1_14,N1_15,N1_open_ended,N2_1,N2_2,N2_3,N2_4,N2_5,N2_6,N2_7,N2_8,N2_9,N2_10,N2_11,N2_12,N2_13,N2_14,N2_15,>
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID145_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID118""}","{""ImportId"":""QID128""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID117""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}"
2025-01-18 11:05:55,2025-01-18 11:25:52,IP Address,76.36.203.141,100,1196,True,2025-01-18 11:25:52,R_5kiwpv08wXdHOHa,,,,,36.143,-80.3073,anonymous,EN,1,,,Smart,Smart,Not sure,Smart,Asian woman,Black woman,Asian woman,Black man,Asian man,Black man,Asian woman,White woman,Black man,White woman,White woman,Asian woman,White man,Asian woman,Asian man,,,,,,,,,,,,,,,,,,,Nice,Nice,Not sure,Nice,Asian woman,Black woman,Asian woman,Black man,White man,Black man,Asian woman,White woman,Black woman,White woman,White woman,Asian woman,Black woman,Asian woman,Black woman,,,,,,,,,,,,,,,,,
2025-01-18 12:33:57,2025-01-18 12:50:16,IP Address,76.36.203.141,100,979,True,2025-01-18 12:50:17,R_14efJcOAKHMHF3T,,,,,36.143,-80.3073,anonymous,EN,2,,,Smart,Not sure,Not sure,Not sure,,,,,,,,,,,,,,,,,Asian woman,White woman,Asian woman,White man,Asian man,White man,Black man,White man,Asian man,White man,Black man,Black man,White man,Asian man,Asian man,,,Not sure,Not sure,Nice,Not nice,Asian woman,White woman,Asian woman,Black man,White man,White man,Asian man,White woman,Black man,Asian man,Black man,White man,White man,Black man,Asian man,,,,,,,,,,,,,,,,,
2025-01-18 13:34:26,2025-01-18 14:34:01,IP Address,76.36.203.141,100,3574,True,2025-01-18 14:34:02,R_5X4BEJfLYbwa9IZ,,,,,36.143,-80.3073,anonymous,EN,3,,,Not sure,Smart,Not sure,Smart,,,,,,,,,,,,,,,,,Black woman,White woman,Asian woman,Asian man,Asian man,Black man,Black woman,White man,Asian man,White man,Black man,Black man,White man,Asian man,Black woman,,,Nice,Nice,Not sure,Nice,,,,,,,,,,,,,,,,,Asian woman,White woman,White woman,Asian man,Black man,Black man,Black man,White woman,Asian man,White man,White woman,Asian woman,Black woman,Asian man,Asian man,
2025-01-18 14:34:07,2025-01-18 14:52:17,IP Address,76.36.203.141,100,1089,True,2025-01-18 14:52:18,R_1MLp4Lo0WTf7eph,,,,,36.143,-80.3073,anonymous,EN,4,,,Smart,Smart,Smart,Not smart,,,,,,,,,,,,,,,,,Asian woman,Black woman,White woman,Asian man,Asian man,Black man,Black man,White man,Asian woman,Asian woman,White woman,Black man,Black woman,Asian man,Asian man,,,Not sure,Nice,Nice,Nice,,,,,,,,,,,,,,,,,Asian woman,Black woman,White woman,Asian man,Asian man,Black man,Black man,White man,Asian man,White man,White woman,Asian woman,White man,Asian man,Asian man,
2025-01-21 14:40:51,2025-01-21 15:22:07,IP Address,152.17.189.95,100,2476,True,2025-01-21 15:22:08,R_13Soh2AiJDNcPId,,,,,36.143,-80.3073,anonymous,EN,5,,,Smart,Smart,Smart,Smart,White woman,Black woman,Asian woman,Asian man,Asian man,White man,Asian man,White woman,Black woman,White woman,White woman,Asian woman,White man,Black man,Asian man,,,,,,,,,,,,,,,,,,,Nice,Nice,Not nice,Nice,White woman,Black woman,Asian woman,Asian man,Asian man,White man,Asian man,White woman,Black woman,White woman,White woman,Asian woman,White man,Black man,Asian man,,,,,,,,,,,,,,,,,
2025-01-21 15:22:15,2025-01-21 16:25:11,IP Address,152.17.189.95,100,3775,True,2025-01-21 16:25:11,R_5MlMBKc1a0aFaoB,,,,,36.143,-80.3073,anonymous,EN,6,,,Smart,Smart,Not sure,Smart,White woman,Black woman,Asian woman,Asian man,White man,Black man,Asian woman,White woman,Black man,White woman,White woman,Asian woman,Black woman,Asian woman,Black woman,,,,,,,,,,,,,,,,,,,Nice,Nice,Not sure,Nice,White woman,Black woman,Asian woman,Asian man,White man,White man,Asian woman,White woman,Black man,Asian man,White woman,Asian woman,Black woman,Asian woman,Black woman,,,,,,,,,,,,,,,,,
2025-01-21 16:36:34,2025-01-21 16:54:59,IP Address,152.17.189.95,100,1104,True,2025-01-21 16:55:00,R_6OPPDQt4K5afqIr,,,,,36.143,-80.3073,anonymous,EN,7,,,Smart,Smart,Smart,Smart,,,,,,,,,,,,,,,,,Asian woman,Black woman,Asian woman,Asian man,Asian man,White man,Black man,White woman,Asian man,White man,White woman,Asian woman,White man,Asian man,Asian man,,,Nice,Nice,Not sure,Nice,,,,,,,,,,,,,,,,,Asian woman,White woman,White woman,Asian man,Asian man,White man,Black woman,White woman,Asian woman,Asian woman,Black man,Asian woman,White man,Asian man,Black woman,
